id,name,type,out_strength,in_strength,betweenness
Cathy Peake,Cathy Peake,archive_holder,14,0,0.004203061333013602
Cecil Edwards,Cecil Edwards,archive_holder,4,0,8.972117472800701e-07
Charles Hayes,Charles Hayes,archive_holder,3,0,1.19628232970676e-06
Charlotte Barnard,Charlotte Barnard,archive_holder,3,1,0.0030938370143939672
Charmian Clift,Charmian Clift,archive_holder,3,0,0.00031581853504258466
Cherry Ripe,Cherry Ripe,archive_holder,3,0,5.9814116485338e-07
Cheryl Creatrix,Cheryl Creatrix,archive_holder,33,0,0.0071794694002251
Chester Eagle,Chester Eagle,archive_holder,1,1,4.5674493131362144e-05
Chester Wilmot,Chester Wilmot,archive_holder,1,1,0.00015790926752129233
Chris Mansell,Chris Mansell,archive_holder,25,0,0.005324737251766898
Chris WallaceCrabbe,Chris WallaceCrabbe,archive_holder,1,0,0.0
Chris Williams,Chris Williams,archive_holder,13,0,0.006114267899974326
Christina Stead,Christina Stead,archive_holder,68,13,0.018237169175608706
Christobel Mattingley,Christobel Mattingley,archive_holder,14,2,0.00454763500177481
Christopher Brennan,Christopher Brennan,archive_holder,18,3,0.007258311295753633
Christopher Crisp,Christopher Crisp,archive_holder,7,0,0.000947455605127754
Claire Dunne,Claire Dunne,archive_holder,2,0,0.00015790926752129233
Colin A Colin Anfield Hughes,Colin A Colin Anfield Hughes,archive_holder,6,0,0.00551086385366538
Colin Bingham,Colin Bingham,archive_holder,1,0,0.0
Colin Blore Bednall,Colin Blore Bednall,archive_holder,6,0,0.002395742050751857
Colin MacInnes,Colin MacInnes,archive_holder,3,0,0.0025109966100544893
Colin Roderick,Colin Roderick,archive_holder,5,3,0.0041844205980516086
Colin Steele,Colin Steele,archive_holder,3,0,0.00030788445732634847
Colleen McCullough,Colleen McCullough,archive_holder,2,1,0.0014137066431309637
Commonwealth Literary Fund,Commonwealth Literary Fund,archive_holder,54,0,0.03464177932594103
Craig McGregor,Craig McGregor,archive_holder,6,2,0.00045706113660703345
Currency Press,Currency Press,archive_holder,30,0,0.01235543274507488
Curt Prerauer,Curt Prerauer,archive_holder,7,0,0.00160661020159372
D B Douglas Berry Copland,D B Douglas Berry Copland,archive_holder,5,0,0.0006316370700851693
D C S David Carlisle Stanley Sissons,D C S David Carlisle Stanley Sissons,archive_holder,3,0,0.00031581853504258466
D Dorothy Glasson,D Dorothy Glasson,archive_holder,1,0,0.0
D G David Geoffrey Penington,D G David Geoffrey Penington,archive_holder,1,0,0.0
D H David Henry Souter,D H David Henry Souter,archive_holder,3,0,5.9814116485338e-07
D H Donald H Crick,D H Donald H Crick,archive_holder,6,0,0.0017319006122748974
D J Derek John Mulvaney,D J Derek John Mulvaney,archive_holder,3,0,2.9907058242669e-07
D L Dharmasoka Laksiri Jayasuriya,D L Dharmasoka Laksiri Jayasuriya,archive_holder,5,0,2.39256465941352e-06
D W Sloper,D W Sloper,archive_holder,3,0,1.19628232970676e-06
Dal Stivens,Dal Stivens,archive_holder,1,1,6.643323175488841e-05
Dan Sprod,Dan Sprod,archive_holder,9,1,6.280482230960491e-06
Daniel J Daniel Josef Leab,Daniel J Daniel Josef Leab,archive_holder,12,0,3.2897764066935904e-06
Daniel S Lev,Daniel S Lev,archive_holder,2,0,0.00015790926752129233
Daniela Torsh,Daniela Torsh,archive_holder,5,0,2.39256465941352e-06
Darcy family,Darcy family,archive_holder,1,0,0.0
David Blair,David Blair,archive_holder,6,1,0.001728927037008695
David Brooks,David Brooks,archive_holder,15,5,0.007350164821993608
David Campbell,David Campbell,archive_holder,42,11,0.03989726606240281
David F David Fielding Wetherell,David F David Fielding Wetherell,archive_holder,3,0,2.9907058242669e-07
David Foster,David Foster,archive_holder,14,3,0.005467680678459526
